Timestamp,CoalFlowRate,CapacityGenerator,IBFTemperature1,IBMTemperature,IBXFVibration,IBYFVibration,InletPosition,MBFTemperature1,MotorCurrent,MSCUTemperature1,MSCVTemperature1,MSCWTemperature1,OBFTemperature1,OBFTemperature,OBXFVibration,OBYFVibration,OutletPressure
2021-01-04T08:00:00Z,,291.871826,60.01569,44.8666534,27.6738281,8.402344,86.151474,60.0558167,186.867157,66.07877,65.89796,66.24573,63.3932762,41.1022377,32.6835938,14.0683594,529.4207
2021-01-04T08:10:00Z,160.1379883,291.0327,60.01569,44.8979568,27.6738281,8.402344,84.6057739,60.0558167,183.02179,65.52025,65.31032,65.6243439,63.3932762,41.1371574,32.6835938,14.0683594,522.137756
2021-01-04T08:20:00Z,163.89327,291.288544,60.01569,44.8024063,27.6738281,8.402344,86.91145,60.0558167,185.379669,65.4189758,65.20593,65.55581,63.3932762,41.131218,32.6835938,14.0683594,507.609039
2021-01-04T08:30:00Z,160.3031264,291.749359,60.01569,44.729187,27.6738281,8.402344,85.3720245,60.0558167,184.576019,65.39788,65.20522,65.54912,63.3932762,41.1149178,32.6835938,14.0683594,485.396057
2021-01-04T08:40:00Z,164.6158724,290.9821,60.01569,44.71311,27.6738281,8.402344,84.77661,60.0558167,183.106934,65.29479,65.06393,65.38473,63.3932762,41.1305466,32.6835938,14.0683594,482.8113
2021-01-04T08:50:00Z,163.7980014,290.9368,60.01569,,27.6738281,8.402344,84.77856,60.0558167,182.757477,65.16571,65.00466,65.37335,63.3932762,41.10439,32.6835938,14.0683594,521.9625
2021-01-04T09:00:00Z,161.5494802,291.0392,60.01569,44.6209259,27.6738281,8.402344,84.30806,60.0558167,181.562454,65.05714,64.91407,65.2868,63.3932762,41.0553627,32.6835938,14.0683594,486.396149
2021-01-04T09:10:00Z,162.195015,291.2465,60.01569,44.6742744,27.6738281,8.402344,84.31854,60.0558167,181.153488,64.95832,64.7777557,65.16283,63.3932762,41.113472,32.6835938,14.0683594,520.650757
2021-01-04T09:20:00Z,164.0270851,291.445374,60.01569,44.6451874,27.6738281,8.402344,84.75374,60.0558167,182.1941,64.92721,64.7763748,65.12208,63.3932762,41.120182,32.6835938,14.0683594,486.609863
2021-01-04T09:30:00Z,163.9398107,291.576233,60.01569,44.7266121,27.6738281,8.402344,84.76004,60.0558167,182.6845,64.8467255,64.7011642,65.07994,63.3932762,41.0643044,32.6835938,14.0683594,503.781433
2021-01-04T09:40:00Z,160.7218531,290.5562,60.01569,44.7999077,27.6738281,8.402344,85.54222,60.0558167,183.868988,64.8446655,64.63921,64.97795,63.3932762,41.0715675,32.6835938,14.0683594,515.74646
2021-01-04T09:50:00Z,161.9578739,291.225281,60.01569,44.84854,27.6738281,8.402344,86.43814,60.0558167,184.287491,64.801506,64.59119,64.9718857,63.3932762,41.0783157,32.6835938,14.0683594,508.777527
2021-01-04T10:00:00Z,161.8768532,289.6592,60.01569,44.8601341,27.6738281,8.402344,86.43408,60.0558167,184.744415,64.8856,64.6738,65.03384,63.3932762,41.064518,32.6835938,14.0683594,520.2606
2021-01-04T10:10:00Z,160.7765669,285.927643,60.01569,44.87567,27.6738281,8.402344,84.301,60.0558167,182.80719,64.7906647,64.5855255,64.95574,63.3932762,41.07947,32.6835938,14.0683594,534.2642
2021-01-04T10:20:00Z,170.8911332,290.084351,60.01569,45.0623,27.6738281,8.402344,86.46213,60.0558167,184.258667,64.6336746,64.4509,64.82293,63.3932762,41.12645,32.6835938,14.0683594,539.2536
2021-01-04T10:30:00Z,164.8666681,290.914246,60.01569,45.0771561,27.6738281,8.402344,87.2123642,60.0558167,185.8107,64.78844,64.5472,64.9278946,63.3932762,41.14349,32.6835938,14.0683594,509.7035
2021-01-04T10:40:00Z,169.7210448,290.008118,60.01569,45.07968,27.6738281,8.402344,87.221,60.0558167,185.957153,64.8424149,64.5855,64.94214,63.3932762,41.16414,32.6835938,14.0683594,551.966064
